series,date,open,high,low,close,volume,average,bar_count
NST:TRADES:2Y,2024-08-26,15.19,15.25,15.0,15.15,2979167.0,15.155,9467
NST:TRADES:2Y,2024-08-27,15.17,15.36,15.125,15.22,2632822.0,15.234,6851
NST:TRADES:2Y,2024-08-28,15.21,15.31,15.0,15.07,2844057.0,15.102,7720
NST:TRADES:2Y,2024-08-29,14.95,15.16,14.94,15.0,3100272.0,15.012,11347
NST:TRADES:2Y,2024-08-30,15.05,15.26,15.05,15.26,4567343.0,15.231,6521
NST:TRADES:2Y,2024-09-02,15.01,15.1,14.85,15.1,2317981.0,15.0365,10220
NST:TRADES:2Y,2024-09-03,14.92,14.98,14.83,14.87,1754186.0,14.8885,5355
NST:TRADES:2Y,2024-09-04,14.65,14.68,14.455,14.54,3767603.0,14.5465,10336
NST:TRADES:2Y,2024-09-05,14.61,14.66,14.44,14.52,2705126.0,14.53,10610
NST:TRADES:2Y,2024-09-06,14.56,14.8,14.54,14.73,3374184.0,14.7095,11310
NST:TRADES:2Y,2024-09-09,14.52,14.66,14.43,14.65,2740991.0,14.596,9699
NST:TRADES:2Y,2024-09-10,14.8,14.86,14.56,14.6,2915516.0,14.662,8785
NST:TRADES:2Y,2024-09-11,14.79,14.95,14.72,14.83,3264660.0,14.845,12046
NST:TRADES:2Y,2024-09-12,14.86,15.1,14.855,15.04,3056137.0,15.026,10170
NST:TRADES:2Y,2024-09-13,15.58,15.8,15.54,15.6,6681837.0,15.6645,17703
NST:TRADES:2Y,2024-09-16,15.96,16.11,15.72,15.83,5065399.0,15.863,19504
NST:TRADES:2Y,2024-09-17,15.88,15.99,15.75,15.79,2627227.0,15.841,11549
NST:TRADES:2Y,2024-09-18,15.64,15.85,15.61,15.81,2702856.0,15.7835,8333
NST:TRADES:2Y,2024-09-19,15.75,15.81,15.5,15.81,3686823.0,15.73,10189
NST:TRADES:2Y,2024-09-20,15.8,16.03,15.75,16.02,4735442.0,15.996,9870
NST:TRADES:2Y,2024-09-23,16.12,16.2,15.96,16.05,2590695.0,16.0915,8133
NST:TRADES:2Y,2024-09-24,15.9,16.1,15.9,16.02,2065873.0,16.0205,8476
NST:TRADES:2Y,2024-09-25,16.42,16.48,16.12,16.15,3534570.0,16.2115,11654
NST:TRADES:2Y,2024-09-26,16.27,16.39,16.19,16.24,3617992.0,16.2845,11179
NST:TRADES:2Y,2024-09-27,16.21,16.29,16.1,16.23,3941996.0,16.2235,15302
NST:TRADES:2Y,2024-09-30,15.96,16.05,15.85,15.97,3600987.0,15.954,9249
NST:TRADES:2Y,2024-10-01,15.8,15.91,15.71,15.89,2627534.0,15.84,10348
NST:TRADES:2Y,2024-10-02,16.0,16.11,15.89,16.0,3136485.0,16.0045,11646
NST:TRADES:2Y,2024-10-03,15.96,16.03,15.71,15.84,2721801.0,15.823,7949
NST:TRADES:2Y,2024-10-04,15.79,15.98,15.62,15.9,2499850.0,15.847,6977
NST:TRADES:2Y,2024-10-07,15.95,16.03,15.73,15.84,2340030.0,15.845,10183
NST:TRADES:2Y,2024-10-08,15.83,16.15,15.77,16.05,3765252.0,16.0565,14064
NST:TRADES:2Y,2024-10-09,16.0,16.13,15.8,15.8,3396665.0,15.8965,12065
NST:TRADES:2Y,2024-10-10,15.85,15.98,15.705,15.79,3229175.0,15.821,11619
NST:TRADES:2Y,2024-10-11,16.0,16.13,15.97,15.97,2962727.0,16.008,10211
NST:TRADES:2Y,2024-10-14,16.19,16.36,16.09,16.34,3039995.0,16.279,11408
NST:TRADES:2Y,2024-10-15,16.32,16.52,16.24,16.51,2760079.0,16.4725,12187
NST:TRADES:2Y,2024-10-16,16.56,16.89,16.51,16.81,3512109.0,16.7695,13725
NST:TRADES:2Y,2024-10-17,16.74,17.03,16.71,17.03,4871399.0,16.899,13506
NST:TRADES:2Y,2024-10-18,17.2,17.23,16.99,17.08,3868979.0,17.1105,11104
NST:TRADES:2Y,2024-10-21,17.26,17.44,17.25,17.41,3299542.0,17.377,13877
NST:TRADES:2Y,2024-10-22,17.36,17.51,17.25,17.47,3942468.0,17.438,10989
NST:TRADES:2Y,2024-10-23,17.44,17.53,17.345,17.43,3366502.0,17.448,13579
